LightIntensity,Temperature,GasLevel,FireDetected,GasLeakDetected,OverheatCondition,NormalConditions
1024,30,30,0,0,0,1
545,45,20,1,0,0,0
937,33,37,0,1,0,0
1017,40,20,0,0,1,0
1020,29,28,0,0,0,1
598,48,25,1,0,0,0
936,32,39,0,1,0,0
1000,42,34,0,0,1,0
686,50,38,1,0,0,0
937,33,37,0,1,0,0
1024,31,34,0,0,0,1
1017,40,20,0,0,1,0
720,33,40,1,0,0,0
970,31,38,0,1,0,0
1022,30,31,0,0,0,1
1017,40,20,0,0,1,0
603,40,40,1,0,0,0
950,31,38,0,1,0,0
1023,28,29,0,0,0,1
1017,40,20,0,0,1,0
730,32,38,1,0,0,0
920,34,36,0,1,0,0
1024,29,33,0,0,0,1
1017,40,20,0,0,1,0
598,45,25,1,0,0,0
936,33,39,0,1,0,0
1000,42,34,0,0,1,0
686,48,38,1,0,0,0
937,33,37,0,1,0,0
1024,31,34,0,0,0,1
1017,40,20,0,0,1,0
720,33,40,1,0,0,0
970,31,38,0,1,0,0
1022,30,31,0,0,0,1
1017,40,20,0,0,1,0
603,40,40,1,0,0,0
950,31,38,0,1,0,0
1023,28,29,0,0,0,1
1017,40,20,0,0,1,0
730,32,38,1,0,0,0
920,34,36,0,1,0,0
1024,29,33,0,0,0,1
1017,40,20,0,0,1,0
